"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL271751";"";"None";"321.81";"0";"3.69";"Table 2, TH, R6C5";"O=C1N/C(=N\c2nccs2)S/C1=C/c1ccc(Cl)cc1";"Inhibition";"'='";"6.2";"%";"";"";"";"UO_0000187";"";"";"";"";"1";"CHEMBL1929732";"Inhibition of human recombinant COX-2 assessed as PGF2alpha production at 200 uM by enzyme immunoassay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1926679";"1";"Scientific Literature";"Eur J Med Chem";"2012";"None";"";"";""
"CHEMBL38";"TRETINOIN";"4.0";"300.44";"1";"5.60";"retinoic acid";"CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1";"Ki";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909131";"DRUGMATRIX: Cyclooxygenase COX-2 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf21";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL4106362";"";"";""
"CHEMBL304560";"";"None";"385.23";"0";"3.05";"22";"NS(=O)(=O)c1ccc(-c2coc(=O)n2-c2ccc(Cl)c(Cl)c2)cc1";"IC50";"'='";"399.94";"nM";"6.40";"";"";"UO_0000065";"16.61";"0.36";"3.35";"6.71";"0";"CHEMBL873458";"Binding affinity towards Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136323";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";""
"CHEMBL1201216";"DAPIPRAZOLE";"4.0";"325.46";"0";"2.29";"DAPIPRAZOLE";"Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909131";"DRUGMATRIX: Cyclooxygenase COX-2 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf21";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL4106362";"";"";""
"CHEMBL28079";"ZAPRINAST";"2.0";"271.28";"0";"1.50";"ZAPRINAST";"CCCOc1ccccc1-c1nc2[nH]nnc2c(=O)[nH]1";"Ki";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909131";"DRUGMATRIX: Cyclooxygenase COX-2 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf21";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL4106362";"";"";""
"CHEMBL320140";"";"None";"388.26";"0";"4.40";"77";"COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccc(Br)cc1";"IC50";"'='";"2500.0";"nM";"5.60";"";"";"UO_0000065";"14.43";"0.32";"1.20";"10.89";"0";"CHEMBL762913";"In vitro inhibitory activity against human Prostaglandin G/H synthase 2 (66 nM) using [14C]AA (50 uM) was determined";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133457";"1";"Scientific Literature";"J Med Chem";"2000";"None";"";"";""
"CHEMBL97040";"";"None";"470.95";"0";"3.72";"16";"COc1ccc2c(c1)c(CC(=O)OCCN1CCOCC1)c(C)n2C(=O)c1ccc(Cl)cc1";"IC50";"'='";"680.0";"nM";"6.17";"";"";"UO_0000065";"13.10";"0.26";"2.45";"8.81";"0";"CHEMBL762913";"In vitro inhibitory activity against human Prostaglandin G/H synthase 2 (66 nM) using [14C]AA (50 uM) was determined";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133457";"1";"Scientific Literature";"J Med Chem";"2000";"None";"";"";""
"CHEMBL1288555";"";"None";"313.06";"0";"3.78";"5c";"O=C(O)C1=Cc2cc(Cl)cc(Cl)c2OC1C(F)(F)F";"IC50";"'='";"18.0";"nM";"7.75";"";"";"UO_0000065";"24.74";"0.56";"3.96";"16.64";"0";"CHEMBL1291683";"Inhibition of human COX-2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1287761";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";""
"CHEMBL296447";"";"None";"410.37";"0";"3.69";"56";"CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccc3c(c2)OCO3)cc1";"IC50";"'='";"170.0";"nM";"6.77";"";"";"UO_0000065";"16.50";"0.33";"3.08";"9.61";"0";"CHEMBL762906";"Concentration required to inhibit human Prostaglandin G/H synthase 2 (COX-2) by 50%";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130039";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";"";""
"CHEMBL319244";"CAFFEIC ACID PHENETHYL ESTER";"None";"284.31";"0";"2.90";"CAFFEIC ACID PHENETHYL ESTER";"O=C(/C=C/c1ccc(O)c(O)c1)OCCc1ccccc1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909131";"DRUGMATRIX: Cyclooxygenase COX-2 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf21";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL4106362";"";"";""
